[ 2025-03-11 12:00:17,296 ] 16 root - INFO - Initiate the data ingestion
[ 2025-03-11 12:00:32,254 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-11 12:00:32,255 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-11 12:00:32,255 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-11 12:00:32,384 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-11 12:00:32,385 ] 18 root - INFO - Data Initiation Completed
[ 2025-03-11 12:00:32,408 ] 22 root - INFO - Initiate the data Validation
[ 2025-03-11 12:00:32,504 ] 32 root - INFO - Required number of columns:2
[ 2025-03-11 12:00:32,504 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-11 12:00:32,505 ] 32 root - INFO - Required number of columns:2
[ 2025-03-11 12:00:32,505 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-11 12:00:32,812 ] 24 root - INFO - data Validation Completed
[ 2025-03-11 12:00:32,814 ] 27 root - INFO - data Transformation started
[ 2025-03-11 12:00:32,814 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-11 12:00:32,814 ] 65 root - INFO - Starting data transformation
[ 2025-03-11 12:00:32,861 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-11 12:00:32,862 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-11 12:00:32,884 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-11 12:00:32,889 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-11 12:00:32,890 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-11 12:00:32,895 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-11 12:00:32,900 ] 31 root - INFO - data Transformation completed
